protocol,backbone,method,seed,fold,slide_id,tissue,num_patches,bPQ,mPQ,F1det,F1type,taxonomy_metrics_valid,source,epithelial_f1,epithelial_matched_true_support,epithelial_total_true_support,immune_f1,immune_matched_true_support,immune_total_true_support,stromal_f1,stromal_matched_true_support,stromal_total_true_support,melanocyte_f1,melanocyte_matched_true_support,melanocyte_total_true_support,other_f1,other_matched_true_support,other_total_true_support
slide-independent,SAM-H,Selected PEFT,43,B,kidney_s0,Kidney,6723,0.647929524,0.2653247957,0.9064137068,0.385442258,True,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json,0.7049000051,94926,106757,0.3020056705,16624,19727,0.5180790218,47786,55093,0,0,0,0.0167843346,7273,9888
slide-independent,SAM-H,Selected PEFT,43,B,liver_s0,Liver,9756,0.6291953603,0.2098881085,0.9029442086,0.3211908028,True,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json,0.779518039,115371,130032,0.0687655344,43079,50656,0.372638717,36806,46353,0,0,0,0.063840921,1246,2564
slide-independent,SAM-H,Selected PEFT,43,B,tonsil_s0,Tonsil,9856,0.5689234904,0.2540069409,0.8522135836,0.4746805505,True,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json,0.6455418714,116410,140466,0.8643376687,665133,795858,0.3798727112,158144,191127,0,0,0,0.0089699507,6399,11130
slide-independent,SAM-H,NT-header1,42,B,kidney_s0,Kidney,6723,0.6429157973,0.2636864627,0.903156626,0.4147577622,True,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed42/log/2026-08-20T114259_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed42/inference_results.json,0.7014409222,94729,106807,0.2469297222,16577,19730,0.5219842739,47533,55114,0,0,0,0.1886761307,7327,9906
slide-independent,SAM-H,NT-header1,42,B,liver_s0,Liver,9756,0.6349128821,0.2233173506,0.9001761597,0.3628511413,True,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed42/log/2026-08-20T114259_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed42/inference_results.json,0.7802943576,115900,130052,0.1050389743,43245,50659,0.3712894071,37150,46352,0,0,0,0.1947818264,1356,2565
slide-independent,SAM-H,NT-header1,42,B,tonsil_s0,Tonsil,9856,0.5724276261,0.2562542178,0.8418994446,0.5036844413,True,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed42/log/2026-08-20T114259_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed42/inference_results.json,0.600296214,116634,140246,0.8631338152,661142,795793,0.4081004531,157617,191128,0,0,0,0.1432072829,6812,11123
slide-independent,SAM-H,NT-header1,43,B,kidney_s0,Kidney,6723,0.6506471163,0.2577672573,0.9019125445,0.4156519031,True,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed43/log/2026-08-24T183826_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed43/inference_results.json,0.6748251288,93933,106626,0.2711991435,16446,19727,0.4546568393,47430,55085,0,0,0,0.2619265008,7121,9896
slide-independent,SAM-H,NT-header1,43,B,liver_s0,Liver,9756,0.6116505902,0.2316681052,0.9008809759,0.3634907274,True,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed43/log/2026-08-24T183826_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed43/inference_results.json,0.7988389366,114181,129928,0.0815416261,42766,50597,0.4091467824,36550,46299,0,0,0,0.1644355644,1271,2566
slide-independent,SAM-H,NT-header1,43,B,tonsil_s0,Tonsil,9856,0.5718417851,0.2600235237,0.8478886573,0.5176329044,True,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed43/log/2026-08-24T183826_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed43/inference_results.json,0.6721636237,116135,140295,0.8655240414,662199,795742,0.3888074814,157694,191102,0,0,0,0.1440364712,6518,11124
slide-independent,SAM-H,FullFT,42,B,kidney_s0,Kidney,6723,0.6475344106,0.2266654107,0.8996483413,0.382913252,True,run/sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/log/2026-08-19T181004_sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/inference_results.json,0.561930412,93871,106807,0.2618864441,16371,19732,0.4806191514,46619,55113,0,0,0,0.2272170004,6958,9916
