protocol,scope,backbone,method,seed,fold,slide_id,class,taxonomy_metrics_valid,source,f1,precision,recall,matched_true_support,matched_pred_support,unmatched_true,unmatched_pred,total_true_support,total_pred_support
slide-independent,fold,CellViT-256,Frozen,42,A,ALL_HELD_OUT_SLIDES,Epithelial,False,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_frozen_seed42/eval/frozen_class_agnostic_results.json,NA,NA,NA,NA,NA,NA,NA,NA,NA
slide-independent,fold,CellViT-256,Frozen,42,A,ALL_HELD_OUT_SLIDES,Immune,False,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_frozen_seed42/eval/frozen_class_agnostic_results.json,NA,NA,NA,NA,NA,NA,NA,NA,NA
slide-independent,fold,CellViT-256,Frozen,42,A,ALL_HELD_OUT_SLIDES,Stromal,False,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_frozen_seed42/eval/frozen_class_agnostic_results.json,NA,NA,NA,NA,NA,NA,NA,NA,NA
slide-independent,fold,CellViT-256,Frozen,42,A,ALL_HELD_OUT_SLIDES,Melanocyte,False,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_frozen_seed42/eval/frozen_class_agnostic_results.json,NA,NA,NA,NA,NA,NA,NA,NA,NA
slide-independent,fold,CellViT-256,Frozen,42,A,ALL_HELD_OUT_SLIDES,Other,False,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_frozen_seed42/eval/frozen_class_agnostic_results.json,NA,NA,NA,NA,NA,NA,NA,NA,NA
slide-independent,fold,CellViT-256,LP,42,A,ALL_HELD_OUT_SLIDES,Epithelial,True,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_lp_final_heads_e10_seed42/log/2026-08-24T195358_sthelar40x_klt_5class_slideind_foldA_cellvit256_lp_final_heads_e10_seed42/inference_results.json,0.4568511997,0.5347440091,0.3987655243,200895,149810,75753,12786,276648,162596
slide-independent,fold,CellViT-256,LP,42,A,ALL_HELD_OUT_SLIDES,Immune,True,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_lp_final_heads_e10_seed42/log/2026-08-24T195358_sthelar40x_klt_5class_slideind_foldA_cellvit256_lp_final_heads_e10_seed42/inference_results.json,0.7858803403,0.7654149565,0.8074701812,512009,540141,132651,39169,644660,579310
slide-independent,fold,CellViT-256,LP,42,A,ALL_HELD_OUT_SLIDES,Stromal,True,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_lp_final_heads_e10_seed42/log/2026-08-24T195358_sthelar40x_klt_5class_slideind_foldA_cellvit256_lp_final_heads_e10_seed42/inference_results.json,0.3540331374,0.3214005083,0.3940411608,185808,227803,74390,22264,260198,250067
slide-independent,fold,CellViT-256,LP,42,A,ALL_HELD_OUT_SLIDES,Melanocyte,True,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_lp_final_heads_e10_seed42/log/2026-08-24T195358_sthelar40x_klt_5class_slideind_foldA_cellvit256_lp_final_heads_e10_seed42/inference_results.json,0,0,0,0,0,0,0,0,0
slide-independent,fold,CellViT-256,LP,42,A,ALL_HELD_OUT_SLIDES,Other,True,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_lp_final_heads_e10_seed42/log/2026-08-24T195358_sthelar40x_klt_5class_slideind_foldA_cellvit256_lp_final_heads_e10_seed42/inference_results.json,0.0007339065,0.4117647059,0.0003672805,19059,17,22662,5,41721,22
